"time_parse","usr_parse","msg_parse"
"2023-12-01 14:55:32","mariarahel!~maria","Bigger Funds That The Fuck off"
"2023-12-01 14:57:59","mariarahel!~maria","Fuck off Already, Kearney"
"2023-12-01 14:58:21","mariarahel!~maria","Kearney That Just Go The Fuck Away"
"2023-12-01 14:59:22","mariarahel!~maria","So Fuck Off Can Continental Dollar"
"2023-12-01 14:59:41","mariarahel!~maria","Why The Fuck Does Anyone Trust That ?"
"2023-12-01 15:02:35","mariarahel!~maria","Pronouncement Can Fuck off"
"2023-12-01 15:22:10","mariarahel!~maria","How Kearney Got The Fuck Out Of Mozambique And Consulted Monaco To Turn The Monarchy on"
"2023-12-01 15:24:40","mariarahel!~maria","I Don't Ever Want To Steal Oxygen Just To Say Fuck Off"
"2023-12-02 15:11:34","mariarahel!~maria","Incorporation Will Fuck Off"
"2023-12-02 19:06:10","mariarahel!~maria","If ""Super Bowl Means Kindness"" Then That Can Fuck Off"
"2023-12-02 19:32:08","mariarahel!~maria","Fucking Retards Of That Style Of Learning"
"2023-12-02 19:50:03","mariarahel!~maria","All That Can Fuck Off"
"2023-12-03 00:35:26","mariarahel!~maria","They Want Her To Fuck Off"
"2023-12-03 01:19:04","mariarahel!~maria","How Do I Say Stop Fucking Doing That ?"
"2023-12-03 01:28:10","mariarahel!~maria","If The Rules Said Only Follower's I Would Tell Them To Fuck Off, Pablo Picasso's Daughter"
"2023-12-03 01:32:49","mariarahel!~maria","Forge Some Fucking Robots, General Imhof"
"2023-12-03 01:46:30","mariarahel!~maria","That's The Way It Fucks Off"
"2023-12-03 02:09:28","mariarahel!~maria","They Won't Fuck Off, Tyler Perry"
"2023-12-03 02:51:07","mariarahel!~maria","Trying To Ratify That Fuck Off Legal"
"2023-12-03 02:53:24","mariarahel!~maria","Don't You Want Criminal Insanity To Fuck Off ?"
"2023-12-03 02:54:09","mariarahel!~maria","Ratify That To Legally Fuck Off ?"
"2023-12-03 03:24:30","mariarahel!~maria","$FUCKOFFANDDIE"
"2023-12-03 21:22:44","mariarahel!~maria","Dirichlet Series That Must Fuck Off"
"2023-12-03 21:23:48","mariarahel!~maria","Fuck Off & Seize"
"2023-12-03 21:28:02","mariarahel!~maria","Watch The Dirichlet Series Fuck off"
"2023-12-04 15:52:30","mariarahel!~maria","You Need To Fuck Off, Japan"
"2023-12-04 16:05:33","mariarahel!~maria","All That Can Fuck Off"
"2023-12-04 18:11:09","mariarahel!~maria","Picasso Attractions Can Fuck off"
"2023-12-05 21:17:54","mariarahel!~maria","I Will Wish You Dead & Fuck Off"
"2023-12-05 21:18:11","mariarahel!~maria","Microsoft's COO Kevin Turner Can Fuck Off & Die"
"2023-12-05 21:19:12","mariarahel!~maria","Fuck Off & Die Until You No Longer Do That"
